lag_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
230	148	174	118	74	0
231	150	174	96	72	0
232	174	153	116	85	0
233	167	177	107	80	0
234	149	168	86	70	0
235	144	167	97	78	0
236	137	157	99	87	0
237	157	160	78	83	0
238	128	152	81	78	0
239	147	168	70	65	0
240	161	133	89	76	0
241	139	159	107	79	0
242	134	156	76	61	0
243	139	136	65	77	0
244	117	150	93	62	0
245	113	164	78	62	0
246	159	152	84	62	0
247	131	167	91	74	0
248	144	164	81	66	0
249	135	139	71	67	0
250	130	139	84	73	0
251	119	134	74	79	0
252	126	148	74	75	0
253	122	132	83	72	0
254	105	138	79	79	0
255	117	139	67	87	0
256	100	158	82	86	0
257	130	157	74	60	0
258	108	133	86	68	0
259	90	133	73	65	0
260	103	166	63	85	0
261	98	148	100	71	0
262	117	144	72	72	0
263	97	143	81	60	0
264	99	148	86	76	0
265	113	157	65	70	0
266	113	144	69	64	0
267	122	153	85	60	0
268	99	146	71	77	0
269	111	147	72	71	0
270	123	136	81	67	0
271	118	142	76	81	0
272	130	159	68	71	0
273	93	167	98	73	0
274	111	130	76	80	0
275	134	153	74	69	0
276	141	151	80	72	0
277	118	161	73	59	0
278	113	166	79	76	0
279	128	169	68	67	0
280	155	171	61	65	0
281	140	138	50	66	0
282	130	168	76	61	0
283	157	169	77	66	0
284	150	159	60	59	0
285	153	181	80	72	0
286	173	174	85	86	0
287	186	176	67	73	0
288	181	194	84	73	0
289	184	183	88	70	0
290	198	203	70	64	0
291	198	202	101	65	0
292	180	215	88	72	0
293	212	215	81	75	0
294	198	197	72	67	0
295	241	214	82	64	0
296	199	236	64	76	0
297	256	216	70	63	0
298	207	200	60	72	0
299	227	219	86	72	0
300	224	235	85	54	0
301	250	237	88	55	0
302	248	272	78	81	0
303	237	214	95	66	0
304	231	233	71	76	0
305	243	223	70	68	0
306	281	222	71	56	0
307	261	252	82	74	0
308	275	257	80	58	0
309	277	273	69	77	0
310	324	242	75	66	0
311	258	259	77	62	0
